measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Global,Male,20 to 24,All causes,Number,1995,496089.934827266,510854.37555886817,482513.4818754597
Deaths,Global,Female,20 to 24,All causes,Number,1995,374728.0536290509,405217.20928199874,351598.6289719196
Deaths,Global,Male,20 to 24,All causes,Rate,1995,194.92094318234263,200.7221064612669,189.58655756261007
Deaths,Global,Female,20 to 24,All causes,Rate,1995,149.27883953677465,161.42467631160454,140.06486786176433
Deaths,Global,Male,25 to 29,All causes,Number,1995,544551.8220816004,564895.674875653,528182.9515467098
Deaths,Global,Female,25 to 29,All causes,Number,1995,429349.3603110037,472233.4729700685,394125.0388277927
Deaths,Global,Male,25 to 29,All causes,Rate,1995,221.42588188081882,229.69810752236958,214.7699651312867
Deaths,Global,Female,25 to 29,All causes,Rate,1995,178.06832856762605,195.85408294204484,163.45939553718966
Deaths,Global,Male,30 to 34,All causes,Number,1995,638038.0648155854,668173.9243827239,614947.0986148219
Deaths,Global,Female,30 to 34,All causes,Number,1995,451660.8347203074,490316.8570678335,420135.4228299824
Deaths,Global,Male,30 to 34,All causes,Rate,1995,286.3179127093279,299.84130086557883,275.95590202434573
Deaths,Global,Female,30 to 34,All causes,Rate,1995,206.8936589879514,224.6009412905058,192.4527172110747
Deaths,Global,Male,35 to 39,All causes,Number,1995,746708.1271343539,784985.9727287829,716497.0482474746
Deaths,Global,Female,35 to 39,All causes,Number,1995,447473.36838671786,480682.5812550215,420106.5638572936
Deaths,Global,Male,35 to 39,All causes,Rate,1995,385.7449914356976,405.51909953020277,370.13812719651213
Deaths,Global,Female,35 to 39,All causes,Rate,1995,239.02960117956445,256.7691706561055,224.4109068965698
Deaths,Global,Male,40 to 44,All causes,Number,1995,927424.3927067542,962570.5222231454,894893.193294035
Deaths,Global,Female,40 to 44,All causes,Number,1995,527418.432529341,554526.3980386376,503077.5697368068
Deaths,Global,Male,40 to 44,All causes,Rate,1995,528.6610942759371,548.6954943152455,510.1172866999441
