measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,Somalia,Male,20 to 24,Diabetes and kidney diseases,Percent,2017,0.0514100189713,0.0604669994466,0.0434331197858
Prevalence,Somalia,Female,20 to 24,Diabetes and kidney diseases,Percent,2017,0.0514873808646,0.0599479622787,0.0436791442955
Prevalence,Somalia,Male,25 to 29,Diabetes and kidney diseases,Percent,2017,0.0795913942829,0.0919275475176,0.0680282137971
Prevalence,Somalia,Female,25 to 29,Diabetes and kidney diseases,Percent,2017,0.0799105918605,0.0923385183386,0.0678587267309
Prevalence,Somalia,Male,30 to 34,Diabetes and kidney diseases,Percent,2017,0.105583682137,0.121774950704,0.0907495303065
Prevalence,Somalia,Female,30 to 34,Diabetes and kidney diseases,Percent,2017,0.109534202477,0.128181505743,0.0939641262614
Prevalence,Somalia,Male,35 to 39,Diabetes and kidney diseases,Percent,2017,0.130693446904,0.150645397079,0.11327722673
Prevalence,Somalia,Female,35 to 39,Diabetes and kidney diseases,Percent,2017,0.141897948608,0.165066741081,0.122464470135
Prevalence,Somalia,Male,40 to 44,Diabetes and kidney diseases,Percent,2017,0.157963268145,0.179386994705,0.139205844189
Prevalence,Somalia,Female,40 to 44,Diabetes and kidney diseases,Percent,2017,0.177697473814,0.202953423706,0.156933197061
Prevalence,Somalia,Male,45 to 49,Diabetes and kidney diseases,Percent,2017,0.193982991513,0.216320194433,0.171784525251
Prevalence,Somalia,Female,45 to 49,Diabetes and kidney diseases,Percent,2017,0.215914615798,0.24105893114,0.191390300074
Prevalence,Somalia,Male,50 to 54,Diabetes and kidney diseases,Percent,2017,0.23835284165,0.266266561904,0.213898833413
Prevalence,Somalia,Female,50 to 54,Diabetes and kidney diseases,Percent,2017,0.26018818203,0.291733698865,0.233989063124
Prevalence,Somalia,Male,55 to 59,Diabetes and kidney diseases,Percent,2017,0.291891249336,0.321251305415,0.263961318546
Prevalence,Somalia,Female,55 to 59,Diabetes and kidney diseases,Percent,2017,0.323916190759,0.355921135958,0.294640043115
Prevalence,Somalia,Male,60 to 64,Diabetes and kidney diseases,Percent,2017,0.352069868088,0.38584822812,0.321098999379
Prevalence,Somalia,Female,60 to 64,Diabetes and kidney diseases,Percent,2017,0.400692420046,0.439730648872,0.363344839662
Prevalence,Somalia,Male,65 to 69,Diabetes and kidney diseases,Percent,2017,0.415840024146,0.450099648494,0.381316614112
Prevalence,Somalia,Female,65 to 69,Diabetes and kidney diseases,Percent,2017,0.474255964008,0.514537180577,0.434913280538
Prevalence,Somalia,Male,70 to 74,Diabetes and kidney diseases,Percent,2017,0.478772171928,0.515682631089,0.443929569399
Prevalence,Somalia,Female,70 to 74,Diabetes and kidney diseases,Percent,2017,0.5394537423,0.580070708486,0.498342334233
Prevalence,Somalia,Male,75 to 79,Diabetes and kidney diseases,Percent,2017,0.527148516129,0.562286161058,0.490763925259
Prevalence,Somalia,Female,75 to 79,Diabetes and kidney diseases,Percent,2017,0.597388713071,0.637316594149,0.557509125456
Prevalence,Somalia,Male,80 to 84,Diabetes and kidney diseases,Percent,2017,0.557018665598,0.596718421842,0.520324115893
Prevalence,Somalia,Female,80 to 84,Diabetes and kidney diseases,Percent,2017,0.635984656518,0.6763075,0.591725325715
Prevalence,Somalia,Male,85 to 89,Diabetes and kidney diseases,Percent,2017,0.565699621635,0.605819508225,0.526245657595
Prevalence,Somalia,Female,85 to 89,Diabetes and kidney diseases,Percent,2017,0.658807417773,0.697602122106,0.615526545529
Prevalence,Somalia,Male,90 to 94,Diabetes and kidney diseases,Percent,2017,0.560355523583,0.60357351684,0.515348144095
Prevalence,Somalia,Female,90 to 94,Diabetes and kidney diseases,Percent,2017,0.671746372778,0.711652139669,0.628130621406
Prevalence,Somalia,Male,95 plus,Diabetes and kidney diseases,Percent,2017,0.552756593199,0.598515,0.502173231037
Prevalence,Somalia,Female,95 plus,Diabetes and kidney diseases,Percent,2017,0.6725100198,0.71530125,0.627595
Prevalence,Turkmenistan,Male,20 to 24,Diabetes and kidney diseases,Percent,2017,0.0457329738497,0.0543737935124,0.0382656870403
Prevalence,Turkmenistan,Female,20 to 24,Diabetes and kidney diseases,Percent,2017,0.0553158179452,0.0658943336931,0.0462257473735
Prevalence,Turkmenistan,Male,25 to 29,Diabetes and kidney diseases,Percent,2017,0.0913274020351,0.107253085433,0.0766601348393
Prevalence,Turkmenistan,Female,25 to 29,Diabetes and kidney diseases,Percent,2017,0.105020529997,0.12223892934,0.0877656802885
Prevalence,Turkmenistan,Male,30 to 34,Diabetes and kidney diseases,Percent,2017,0.144181630655,0.168806155265,0.121616607905
Prevalence,Turkmenistan,Female,30 to 34,Diabetes and kidney diseases,Percent,2017,0.149788926402,0.174247825904,0.126090204219
Prevalence,Turkmenistan,Male,35 to 39,Diabetes and kidney diseases,Percent,2017,0.190149783169,0.222077403337,0.164281313276
Prevalence,Turkmenistan,Female,35 to 39,Diabetes and kidney diseases,Percent,2017,0.186276234503,0.217492793096,0.159306176853
Prevalence,Turkmenistan,Male,40 to 44,Diabetes and kidney diseases,Percent,2017,0.228486731432,0.257061563629,0.201291646386
Prevalence,Turkmenistan,Female,40 to 44,Diabetes and kidney diseases,Percent,2017,0.222172463472,0.251597545579,0.194282730962
Prevalence,Turkmenistan,Male,45 to 49,Diabetes and kidney diseases,Percent,2017,0.269270938959,0.298738970886,0.238924811657
Prevalence,Turkmenistan,Female,45 to 49,Diabetes and kidney diseases,Percent,2017,0.268034628796,0.297612057439,0.238757157458
Prevalence,Turkmenistan,Male,50 to 54,Diabetes and kidney diseases,Percent,2017,0.311178975294,0.344080697961,0.282122412211
Prevalence,Turkmenistan,Female,50 to 54,Diabetes and kidney diseases,Percent,2017,0.323015897946,0.357968458838,0.29265345716
Prevalence,Turkmenistan,Male,55 to 59,Diabetes and kidney diseases,Percent,2017,0.354573748223,0.389584703363,0.323758207141
Prevalence,Turkmenistan,Female,55 to 59,Diabetes and kidney diseases,Percent,2017,0.382302515769,0.419380086498,0.350383046784
Prevalence,Turkmenistan,Male,60 to 64,Diabetes and kidney diseases,Percent,2017,0.397607321686,0.431466960471,0.364841071982
Prevalence,Turkmenistan,Female,60 to 64,Diabetes and kidney diseases,Percent,2017,0.445353298309,0.485508923284,0.411171892687
Prevalence,Turkmenistan,Male,65 to 69,Diabetes and kidney diseases,Percent,2017,0.437787746441,0.474529878505,0.403439203621
Prevalence,Turkmenistan,Female,65 to 69,Diabetes and kidney diseases,Percent,2017,0.501282536555,0.541560691745,0.464767938854
