"sex","location","cause","IRadjust","CFadjust"
"Female","Afghanistan","hhd",0.7,1
"Female","Afghanistan","hstroke",0.7,1
"Female","Afghanistan","ihd",0.7,1
"Female","Afghanistan","istroke",0.7,1
"Male","Afghanistan","hhd",0.7,1
"Male","Afghanistan","hstroke",0.7,1
"Male","Afghanistan","ihd",0.7,1
"Male","Afghanistan","istroke",0.7,1
"Female","Albania","hhd",0.7,1
"Female","Albania","hstroke",0.7,1
"Female","Albania","ihd",0.7,1
"Female","Albania","istroke",0.7,1
"Male","Albania","hhd",0.7,1
"Male","Albania","hstroke",0.7,1
"Male","Albania","ihd",0.7,1
"Male","Albania","istroke",0.7,1
"Female","Algeria","hhd",0.7,1
"Female","Algeria","hstroke",0.7,1
"Female","Algeria","ihd",0.7,1
"Female","Algeria","istroke",0.7,1
"Male","Algeria","hhd",0.7,1
"Male","Algeria","hstroke",0.7,1
"Male","Algeria","ihd",0.7,1
"Male","Algeria","istroke",0.7,1
"Female","Angola","hhd",0.7,1
"Female","Angola","hstroke",0.7,1
"Female","Angola","ihd",0.7,1
"Female","Angola","istroke",0.7,1
"Male","Angola","hhd",0.7,1
"Male","Angola","hstroke",0.7,1
"Male","Angola","ihd",0.7,1
"Male","Angola","istroke",0.7,1
"Female","Antigua and Barbuda","hhd",0.7,1
"Female","Antigua and Barbuda","hstroke",0.7,1
"Female","Antigua and Barbuda","ihd",0.7,1
"Female","Antigua and Barbuda","istroke",0.7,1
"Male","Antigua and Barbuda","hhd",0.7,1
"Male","Antigua and Barbuda","hstroke",0.7,1
"Male","Antigua and Barbuda","ihd",0.7,1
"Male","Antigua and Barbuda","istroke",0.7,1
"Female","Argentina","hhd",0.7,1
"Female","Argentina","hstroke",0.7,1
"Female","Argentina","ihd",0.7,1
"Female","Argentina","istroke",0.7,1
"Male","Argentina","hhd",0.7,1
"Male","Argentina","hstroke",0.7,1
"Male","Argentina","ihd",0.7,1
"Male","Argentina","istroke",0.7,1
"Female","Armenia","hhd",0.7,1
"Female","Armenia","hstroke",0.7,1
"Female","Armenia","ihd",0.7,1
"Female","Armenia","istroke",0.7,1
"Male","Armenia","hhd",0.7,1
"Male","Armenia","hstroke",0.7,1
"Male","Armenia","ihd",0.7,1
"Male","Armenia","istroke",0.7,1
"Female","Australia","hhd",0.7,1
"Female","Australia","hstroke",0.7,1
"Female","Australia","ihd",0.7,1
"Female","Australia","istroke",0.7,1
"Male","Australia","hhd",0.7,1
"Male","Australia","hstroke",0.7,1
"Male","Australia","ihd",0.7,1
"Male","Australia","istroke",0.7,1
"Female","Austria","hhd",0.7,1
"Female","Austria","hstroke",0.7,1
"Female","Austria","ihd",0.7,1
"Female","Austria","istroke",0.7,1
"Male","Austria","hhd",0.7,1
"Male","Austria","hstroke",0.7,1
