"","year","sex","intervention","pop","sick","dead","all.mx","newcases"
"1",2020,"Female","Aspirational_Antihypertensive therapy",2621862684.30027,148337619.074461,7949443.24917187,22759328.4135487,16584515.6948995
"2",2020,"Female","Aspirational_Both",2621862684.30027,148337619.074461,7949443.24917187,22759328.4135487,16584515.6948995
"3",2020,"Female","Aspirational_Salt reduction",2621862684.30027,148337619.074461,7949443.24917187,22759328.4135487,16584515.6948995
"4",2020,"Female","Business as usual",2621862684.30027,148337619.074461,7949443.24917187,22759328.4135487,16584515.6948995
"5",2020,"Female","Progress_Antihypertensive therapy",2621862684.30027,148337619.074461,7949443.24917187,22759328.4135487,16584515.6948995
"6",2020,"Female","Progress_Both",2621862684.30027,148337619.074461,7949443.24917187,22759328.4135487,16584515.6948995
"7",2020,"Female","Progress_Salt reduction",2621862684.30027,148337619.074461,7949443.24917187,22759328.4135487,16584515.6948995
"8",2020,"Male","Aspirational_Antihypertensive therapy",2572233310.86427,168783291.406724,8913461.15697691,27632600.8500301,18862956.1826027
"9",2020,"Male","Aspirational_Both",2572233310.86427,168783291.406724,8913461.15697691,27632600.8500301,18862956.1826027
"10",2020,"Male","Aspirational_Salt reduction",2572233310.86427,168783291.406724,8913461.15697691,27632600.8500301,18862956.1826027
"11",2020,"Male","Business as usual",2572233310.86427,168783291.406724,8913461.15697691,27632600.8500301,18862956.1826027
"12",2020,"Male","Progress_Antihypertensive therapy",2572233310.86427,168783291.406724,8913461.15697691,27632600.8500301,18862956.1826027
"13",2020,"Male","Progress_Both",2572233310.86427,168783291.406724,8913461.15697691,27632600.8500301,18862956.1826027
"14",2020,"Male","Progress_Salt reduction",2572233310.86427,168783291.406724,8913461.15697691,27632600.8500301,18862956.1826027
"15",2050,"Female","Aspirational_Antihypertensive therapy",3602375409.28531,313136228.669747,14076911.3228894,35470022.4495655,31427406.7131504
"16",2050,"Female","Aspirational_Both",3605920239.60227,305235994.801259,13739873.27233,35252427.6036308,30763001.7934571
"17",2050,"Female","Aspirational_Salt reduction",3574588587.1863,324252056.721969,17404859.4080976,37926841.2862443,35152967.4037021
"18",2050,"Female","Business as usual",3568049866.55729,337474537.808505,18099460.2408228,38407367.0064886,36454291.4883534
"19",2050,"Female","Progress_Antihypertensive therapy",3588813819.82432,324560907.612544,15859138.4694071,36804649.5063961,33874049.3647998
"20",2050,"Female","Progress_Both",3591112896.69586,319292119.752563,15606158.3940379,36629052.2358563,33361695.983138
"21",2050,"Female","Progress_Salt reduction",3571285688.71281,330748168.24769,17745008.7499492,38158368.8355129,35783857.709664
"22",2050,"Male","Aspirational_Antihypertensive therapy",3551983618.34264,361614804.110759,15640636.3792554,41026198.8830482,35732342.6820294
"23",2050,"Male","Aspirational_Both",3556200945.09462,353267409.957313,15296264.5528898,40844633.4688716,35084260.1051488
"24",2050,"Male","Aspirational_Salt reduction",3524715573.13228,362501073.684861,18407830.0967854,42826486.5090991,37988163.6710387
"25",2050,"Male","Business as usual",3517349388.1946,375768715.513224,19087803.5619633,43231021.882742,39212331.7052267
"26",2050,"Male","Progress_Antihypertensive therapy",3538156639.16292,368606550.77302,17183286.8143378,42053003.9540765,37422364.6243245
"27",2050,"Male","Progress_Both",3540802912.18906,363198498.938461,16932647.2456271,41904659.01233,36938771.1787127
"28",2050,"Male","Progress_Salt reduction",3520968971.75278,369007401.874698,18740344.8012817,43018034.3067755,38580091.9488525
