"","Sex","Location","ex","Time2","intervention"
"1","Both","Afghanistan",30.848059490924,2020,"Aspirational_Antihypertensive therapy"
"2","Both","Afghanistan",30.848059490924,2020,"Aspirational_Both"
"3","Both","Afghanistan",30.848059490924,2020,"Aspirational_Salt reduction"
"4","Both","Afghanistan",30.848059490924,2020,"Business as usual"
"5","Both","Afghanistan",30.848059490924,2020,"Progress_Antihypertensive therapy"
"6","Both","Afghanistan",30.848059490924,2020,"Progress_Both"
"7","Both","Afghanistan",30.848059490924,2020,"Progress_Salt reduction"
"8","Both","Afghanistan",31.9221581461903,2030,"Aspirational_Antihypertensive therapy"
"9","Both","Afghanistan",32.0358722786889,2030,"Aspirational_Both"
"10","Both","Afghanistan",31.5972388859675,2030,"Aspirational_Salt reduction"
"11","Both","Afghanistan",31.464817731683,2030,"Business as usual"
"12","Both","Afghanistan",31.8351352682878,2030,"Progress_Antihypertensive therapy"
"13","Both","Afghanistan",31.8778487974274,2030,"Progress_Both"
"14","Both","Afghanistan",31.5136457791028,2030,"Progress_Salt reduction"
"15","Both","Afghanistan",33.4899829184627,2040,"Aspirational_Antihypertensive therapy"
"16","Both","Afghanistan",33.6239650290708,2040,"Aspirational_Both"
"17","Both","Afghanistan",32.5082040110165,2040,"Aspirational_Salt reduction"
"18","Both","Afghanistan",32.2986341701089,2040,"Business as usual"
"19","Both","Afghanistan",33.0591303172648,2040,"Progress_Antihypertensive therapy"
"20","Both","Afghanistan",33.1361038899867,2040,"Progress_Both"
"21","Both","Afghanistan",32.400986385756,2040,"Progress_Salt reduction"
"22","Both","Afghanistan",34.5791279452286,2050,"Aspirational_Antihypertensive therapy"
"23","Both","Afghanistan",34.6994429876314,2050,"Aspirational_Both"
"24","Both","Afghanistan",33.3547776887608,2050,"Aspirational_Salt reduction"
"25","Both","Afghanistan",33.1273015250984,2050,"Business as usual"
"26","Both","Afghanistan",33.98849522702,2050,"Progress_Antihypertensive therapy"
"27","Both","Afghanistan",34.0698292194701,2050,"Progress_Both"
"28","Both","Afghanistan",33.2413161138057,2050,"Progress_Salt reduction"
"29","Both","Albania",40.5578776770849,2020,"Aspirational_Antihypertensive therapy"
"30","Both","Albania",40.5578776770849,2020,"Aspirational_Both"
"31","Both","Albania",40.5578776770849,2020,"Aspirational_Salt reduction"
"32","Both","Albania",40.5578776770849,2020,"Business as usual"
"33","Both","Albania",40.5578776770849,2020,"Progress_Antihypertensive therapy"
"34","Both","Albania",40.5578776770849,2020,"Progress_Both"
"35","Both","Albania",40.5578776770849,2020,"Progress_Salt reduction"
"36","Both","Albania",41.7468059320477,2030,"Aspirational_Antihypertensive therapy"
"37","Both","Albania",41.8868504870091,2030,"Aspirational_Both"
"38","Both","Albania",41.5817494628362,2030,"Aspirational_Salt reduction"
"39","Both","Albania",41.4227543659696,2030,"Business as usual"
"40","Both","Albania",41.7119989867766,2030,"Progress_Antihypertensive therapy"
"41","Both","Albania",41.7672936761328,2030,"Progress_Both"
