"","wb2021","year","intervention","x50q30"
"1","HIC",2017,"Aspirational_Antihypertensive therapy",0.0928571450764678
"2","HIC",2017,"Aspirational_Both",0.0928571450764678
"3","HIC",2017,"Aspirational_Salt reduction",0.0928571450764678
"4","HIC",2017,"Business as usual",0.0928571450764678
"5","HIC",2017,"Progress_Antihypertensive therapy",0.0928571450764678
"6","HIC",2017,"Progress_Both",0.0928571450764678
"7","HIC",2017,"Progress_Salt reduction",0.0928571450764678
"8","HIC",2018,"Aspirational_Antihypertensive therapy",0.0866334262667828
"9","HIC",2018,"Aspirational_Both",0.0866334262667828
"10","HIC",2018,"Aspirational_Salt reduction",0.0866334262667828
"11","HIC",2018,"Business as usual",0.0866334262667828
"12","HIC",2018,"Progress_Antihypertensive therapy",0.0866334262667828
"13","HIC",2018,"Progress_Both",0.0866334262667828
"14","HIC",2018,"Progress_Salt reduction",0.0866334262667828
"15","HIC",2019,"Aspirational_Antihypertensive therapy",0.0862568899894345
"16","HIC",2019,"Aspirational_Both",0.0862568899894345
"17","HIC",2019,"Aspirational_Salt reduction",0.0862568899894345
"18","HIC",2019,"Business as usual",0.0862568899894345
"19","HIC",2019,"Progress_Antihypertensive therapy",0.0862568899894345
"20","HIC",2019,"Progress_Both",0.0862568899894345
"21","HIC",2019,"Progress_Salt reduction",0.0862568899894345
"22","HIC",2020,"Aspirational_Antihypertensive therapy",0.0847195241069254
"23","HIC",2020,"Aspirational_Both",0.0847195241069254
"24","HIC",2020,"Aspirational_Salt reduction",0.0847195241069254
"25","HIC",2020,"Business as usual",0.0847195241069254
"26","HIC",2020,"Progress_Antihypertensive therapy",0.0847195241069254
"27","HIC",2020,"Progress_Both",0.0847195241069254
"28","HIC",2020,"Progress_Salt reduction",0.0847195241069254
"29","HIC",2021,"Aspirational_Antihypertensive therapy",0.0835355341531019
"30","HIC",2021,"Aspirational_Both",0.0835355341531019
"31","HIC",2021,"Aspirational_Salt reduction",0.0835355341531019
"32","HIC",2021,"Business as usual",0.0835355341531019
"33","HIC",2021,"Progress_Antihypertensive therapy",0.0835355341531019
"34","HIC",2021,"Progress_Both",0.0835355341531019
"35","HIC",2021,"Progress_Salt reduction",0.0835355341531019
"36","HIC",2022,"Aspirational_Antihypertensive therapy",0.0818413472100218
"37","HIC",2022,"Aspirational_Both",0.0818413472100218
"38","HIC",2022,"Aspirational_Salt reduction",0.0818413472100218
"39","HIC",2022,"Business as usual",0.0818413472100218
"40","HIC",2022,"Progress_Antihypertensive therapy",0.0818413472100218
"41","HIC",2022,"Progress_Both",0.0818413472100218
"42","HIC",2022,"Progress_Salt reduction",0.0818413472100218
"43","HIC",2023,"Aspirational_Antihypertensive therapy",0.0794092914766251
"44","HIC",2023,"Aspirational_Both",0.0794092914766251
"45","HIC",2023,"Aspirational_Salt reduction",0.0801535210846026
"46","HIC",2023,"Business as usual",0.0801535210846026
"47","HIC",2023,"Progress_Antihypertensive therapy",0.0798059529152745
"48","HIC",2023,"Progress_Both",0.0798059529152745
"49","HIC",2023,"Progress_Salt reduction",0.0801535210846026
"50","HIC",2024,"Aspirational_Antihypertensive therapy",0.0772736264117588
"51","HIC",2024,"Aspirational_Both",0.0771906916769551
"52","HIC",2024,"Aspirational_Salt reduction",0.0787115726828307
"53","HIC",2024,"Business as usual",0.0787995712280898
"54","HIC",2024,"Progress_Antihypertensive therapy",0.0780987682616678
"55","HIC",2024,"Progress_Both",0.0780718197655839
"56","HIC",2024,"Progress_Salt reduction",0.0787719125247622
"57","HIC",2025,"Aspirational_Antihypertensive therapy",0.0753141736892269
"58","HIC",2025,"Aspirational_Both",0.0750900335926656
"59","HIC",2025,"Aspirational_Salt reduction",0.0773948701635687
"60","HIC",2025,"Business as usual",0.07764174629343
"61","HIC",2025,"Progress_Antihypertensive therapy",0.076590341726392
"62","HIC",2025,"Progress_Both",0.0765155817145811
"63","HIC",2025,"Progress_Salt reduction",0.0775638467225187
"64","HIC",2026,"Aspirational_Antihypertensive therapy",0.0737465062004918
"65","HIC",2026,"Aspirational_Both",0.0733390849933914
"66","HIC",2026,"Aspirational_Salt reduction",0.0764218344636055
"67","HIC",2026,"Business as usual",0.0768877789990817
"68","HIC",2026,"Progress_Antihypertensive therapy",0.0754926361435581
"69","HIC",2026,"Progress_Both",0.0753530032099494
"70","HIC",2026,"Progress_Salt reduction",0.0767401689006012
"71","HIC",2027,"Aspirational_Antihypertensive therapy",0.0720538675098235
"72","HIC",2027,"Aspirational_Both",0.071436725225609
"73","HIC",2027,"Aspirational_Salt reduction",0.0752526932795243
"74","HIC",2027,"Business as usual",0.0759851806202005
"75","HIC",2027,"Progress_Antihypertensive therapy",0.0742671021429463
"76","HIC",2027,"Progress_Both",0.0740496797221657
"77","HIC",2027,"Progress_Salt reduction",0.0757521966860828
"78","HIC",2028,"Aspirational_Antihypertensive therapy",0.0704074928783864
"79","HIC",2028,"Aspirational_Both",0.0695638373415255
"80","HIC",2028,"Aspirational_Salt reduction",0.0740547902471175
"81","HIC",2028,"Business as usual",0.07509295300727
"82","HIC",2028,"Progress_Antihypertensive therapy",0.0730784398040039
"83","HIC",2028,"Progress_Both",0.0727728623095509
"84","HIC",2028,"Progress_Salt reduction",0.0747613928851222
"85","HIC",2029,"Aspirational_Antihypertensive therapy",0.0689265213225065
"86","HIC",2029,"Aspirational_Both",0.0679018497418067
"87","HIC",2029,"Aspirational_Salt reduction",0.0730207552998654
"88","HIC",2029,"Business as usual",0.074321448774313
"89","HIC",2029,"Progress_Antihypertensive therapy",0.072042333367758
"90","HIC",2029,"Progress_Both",0.07163977827403
"91","HIC",2029,"Progress_Salt reduction",0.0738798091427451
"92","HIC",2030,"Aspirational_Antihypertensive therapy",0.0673548360720131
"93","HIC",2030,"Aspirational_Both",0.0661884920161663
"94","HIC",2030,"Aspirational_Salt reduction",0.0718688221345561
