"","Sex","Location","ex","Time2","intervention"
"1","Both","Afghanistan",62.6836933286434,2020,"Aspirational_Antihypertensive therapy"
"2","Both","Afghanistan",62.6836933286434,2020,"Aspirational_Both"
"3","Both","Afghanistan",62.6836933286434,2020,"Aspirational_Salt reduction"
"4","Both","Afghanistan",62.6836933286434,2020,"Business as usual"
"5","Both","Afghanistan",62.6836933286434,2020,"Progress_Antihypertensive therapy"
"6","Both","Afghanistan",62.6836933286434,2020,"Progress_Both"
"7","Both","Afghanistan",62.6836933286434,2020,"Progress_Salt reduction"
"8","Both","Afghanistan",65.4023817942812,2030,"Aspirational_Antihypertensive therapy"
"9","Both","Afghanistan",65.5056124023186,2030,"Aspirational_Both"
"10","Both","Afghanistan",65.1017335870826,2030,"Aspirational_Salt reduction"
"11","Both","Afghanistan",64.9817589996625,2030,"Business as usual"
"12","Both","Afghanistan",65.3221012646765,2030,"Progress_Antihypertensive therapy"
"13","Both","Afghanistan",65.3609083911405,2030,"Progress_Both"
"14","Both","Afghanistan",65.0260391245681,2030,"Progress_Salt reduction"
"15","Both","Afghanistan",67.9703495594723,2040,"Aspirational_Antihypertensive therapy"
"16","Both","Afghanistan",68.0942655068631,2040,"Aspirational_Both"
"17","Both","Afghanistan",67.0570896245934,2040,"Aspirational_Salt reduction"
"18","Both","Afghanistan",66.8644520049695,2040,"Business as usual"
"19","Both","Afghanistan",67.5696404709747,2040,"Progress_Antihypertensive therapy"
"20","Both","Afghanistan",67.6407303509743,2040,"Progress_Both"
"21","Both","Afghanistan",66.9586126360182,2040,"Progress_Salt reduction"
"22","Both","Afghanistan",69.7674148529965,2050,"Aspirational_Antihypertensive therapy"
"23","Both","Afghanistan",69.8803217952923,2050,"Aspirational_Both"
"24","Both","Afghanistan",68.6198362934454,2050,"Aspirational_Salt reduction"
"25","Both","Afghanistan",68.4083707350562,2050,"Business as usual"
"26","Both","Afghanistan",69.2142020240731,2050,"Progress_Antihypertensive therapy"
"27","Both","Afghanistan",69.2901799085473,2050,"Progress_Both"
"28","Both","Afghanistan",68.5144084356054,2050,"Progress_Salt reduction"
"29","Both","Albania",78.5858379254174,2020,"Aspirational_Antihypertensive therapy"
"30","Both","Albania",78.5858379254174,2020,"Aspirational_Both"
"31","Both","Albania",78.5858379254174,2020,"Aspirational_Salt reduction"
"32","Both","Albania",78.5858379254174,2020,"Business as usual"
"33","Both","Albania",78.5858379254174,2020,"Progress_Antihypertensive therapy"
"34","Both","Albania",78.5858379254174,2020,"Progress_Both"
"35","Both","Albania",78.5858379254174,2020,"Progress_Salt reduction"
"36","Both","Albania",80.0166334755773,2030,"Aspirational_Antihypertensive therapy"
"37","Both","Albania",80.1544678689264,2030,"Aspirational_Both"
"38","Both","Albania",79.8511750094635,2030,"Aspirational_Salt reduction"
"39","Both","Albania",79.6947298598491,2030,"Business as usual"
"40","Both","Albania",79.9820338308132,2030,"Progress_Antihypertensive therapy"
"41","Both","Albania",80.0364240952733,2030,"Progress_Both"
"42","Both","Albania",79.7563318499309,2030,"Progress_Salt reduction"
"43","Both","Albania",81.3978708947602,2040,"Aspirational_Antihypertensive therapy"
"44","Both","Albania",81.5260488774669,2040,"Aspirational_Both"
"45","Both","Albania",80.5184887670196,2040,"Aspirational_Salt reduction"
"46","Both","Albania",80.3088832461116,2040,"Business as usual"
"47","Both","Albania",81.0452516436835,2040,"Progress_Antihypertensive therapy"
"48","Both","Albania",81.119457666518,2040,"Progress_Both"
