"","location","wb2021","year","intervention","x50q30"
"1","Afghanistan","LIC",2017,"Aspirational_Antihypertensive therapy",0.480694571617667
"2","Afghanistan","LIC",2017,"Aspirational_Both",0.480694571617667
"3","Afghanistan","LIC",2017,"Aspirational_Salt reduction",0.480694571617667
"4","Afghanistan","LIC",2017,"Business as usual",0.480694571617667
"5","Afghanistan","LIC",2017,"Progress_Antihypertensive therapy",0.480694571617667
"6","Afghanistan","LIC",2017,"Progress_Both",0.480694571617667
"7","Afghanistan","LIC",2017,"Progress_Salt reduction",0.480694571617667
"8","Afghanistan","LIC",2018,"Aspirational_Antihypertensive therapy",0.463411102203747
"9","Afghanistan","LIC",2018,"Aspirational_Both",0.463411102203747
"10","Afghanistan","LIC",2018,"Aspirational_Salt reduction",0.463411102203747
"11","Afghanistan","LIC",2018,"Business as usual",0.463411102203747
"12","Afghanistan","LIC",2018,"Progress_Antihypertensive therapy",0.463411102203747
"13","Afghanistan","LIC",2018,"Progress_Both",0.463411102203747
"14","Afghanistan","LIC",2018,"Progress_Salt reduction",0.463411102203747
"15","Afghanistan","LIC",2019,"Aspirational_Antihypertensive therapy",0.475044363481111
"16","Afghanistan","LIC",2019,"Aspirational_Both",0.475044363481111
"17","Afghanistan","LIC",2019,"Aspirational_Salt reduction",0.475044363481111
"18","Afghanistan","LIC",2019,"Business as usual",0.475044363481111
"19","Afghanistan","LIC",2019,"Progress_Antihypertensive therapy",0.475044363481111
"20","Afghanistan","LIC",2019,"Progress_Both",0.475044363481111
"21","Afghanistan","LIC",2019,"Progress_Salt reduction",0.475044363481111
"22","Afghanistan","LIC",2020,"Aspirational_Antihypertensive therapy",0.482057697569707
"23","Afghanistan","LIC",2020,"Aspirational_Both",0.482057697569707
"24","Afghanistan","LIC",2020,"Aspirational_Salt reduction",0.482057697569707
"25","Afghanistan","LIC",2020,"Business as usual",0.482057697569707
"26","Afghanistan","LIC",2020,"Progress_Antihypertensive therapy",0.482057697569707
"27","Afghanistan","LIC",2020,"Progress_Both",0.482057697569707
"28","Afghanistan","LIC",2020,"Progress_Salt reduction",0.482057697569707
"29","Afghanistan","LIC",2021,"Aspirational_Antihypertensive therapy",0.484671927845208
"30","Afghanistan","LIC",2021,"Aspirational_Both",0.484671927845208
"31","Afghanistan","LIC",2021,"Aspirational_Salt reduction",0.484671927845208
"32","Afghanistan","LIC",2021,"Business as usual",0.484671927845208
"33","Afghanistan","LIC",2021,"Progress_Antihypertensive therapy",0.484671927845208
"34","Afghanistan","LIC",2021,"Progress_Both",0.484671927845208
"35","Afghanistan","LIC",2021,"Progress_Salt reduction",0.484671927845208
"36","Afghanistan","LIC",2022,"Aspirational_Antihypertensive therapy",0.48645594414541
"37","Afghanistan","LIC",2022,"Aspirational_Both",0.48645594414541
"38","Afghanistan","LIC",2022,"Aspirational_Salt reduction",0.48645594414541
"39","Afghanistan","LIC",2022,"Business as usual",0.48645594414541
"40","Afghanistan","LIC",2022,"Progress_Antihypertensive therapy",0.48645594414541
"41","Afghanistan","LIC",2022,"Progress_Both",0.48645594414541
"42","Afghanistan","LIC",2022,"Progress_Salt reduction",0.48645594414541
